Code,Fluggesellschaft,Land,Bemerkung
7C,MGC Aviation,Lesotho,
7E,Sylt Air GmbH,Deutschland,
7F,First Air,Kanada,
7G,StarFlyer,Japan,
7H,Corvus Airlines,USA,
7J,Tajikistan Airlines,Tadschikistan,
7L,Silk Way West Airlines,Aserbaidschan,
7M,MAYair,Mexiko,
7M,Mistral Air,Italien,neuer Code: M4
7N,PAWA Dominicana,Dominikanische Republik,
7P,Air Panama,Panama,
7Q,Elite Airways,USA,
7R,RusLine,Russland,
7S,Arctic Transportation Services,USA,
7T,Aero Express del Ecuador,Ecuador,im Außenauftritt DHL Ecuador
7U,Commercial Aviation Services,USA,
7V,Federal Air,Südafrika,
7W,Wind Rose Aviation,Ukraine,
7Y,Mann Yadanarpon Airlines,Myanmar,
7Z,Ameristar Air Cargo,USA,
8A,Panama Airways,Panama,
8B,TransNusa Air Services,Indonesien,
8C,Air Transport International,USA,
8D,FitsAir,Sri Lanka,
8E,Bering Air,USA,
8E,Easy Fly Express,Bangladesch,
8F,Cardig Air,Indonesien,
8F,STP Airways,São Tomé und Príncipe,
8G,Mid Africa Aviation,Gambia,
8H,BH Air,Bulgarien,
8H,Equaflight Service,Republik Kongo,neuer Code: E7
8I,InselAir Aruba,Aruba,
8J,EcoJet,Bolivien,
8K,K-Mile Air,Thailand,
8L,Lucky Air,China,
8M,Myanmar Airways International,Myanmar,
8N,Aerodynamics,USA,
8N,Regional Air Services,Tansania,
8P,Pacific Coastal Airlines,Kanada,
8Q,Onur Air,Türkei,
8T,Air Tindi,Kanada,
8U,Afriqiyah Airways,Libyen,
8V,Astral Aviation,Kenia,
8Y,Astro Air International,Philippinen,
9A,Eaglexpress Air Charter,Malaysia,
9B,AccesRail,Kanada,Anbieter von Bahnfahrkarten für Reisen in Europa
9C,Spring Airlines,China,
9E,Endeavor Air,USA,
9F,Eurostar International,Vereinigtes Königreich,Eisenbahngesellschaft
9G,9G Rail,Vereinigtes Königreich,Eisenbahngesellschaft
9H,Chang An Airlines,China,
9H,Medavia,Malta,Code nicht mehr genutzt
9I,Alliance Air,Indien,
9J,Dana Airlines,Nigeria,
9K,Cape Air,USA,
9M,Central Mountain Air,Kanada,
9N,Trans States Airlines,USA,neuer Code: AX
9N,Tropic Air,Belize,
9O,The Cargo Flights,Thailand,
9P,Air Arabia Jordan,Jordanian,
9Q,Caicos Express Airways,Bahamas,
9R,SATENA,Kolumbien,
9S,Southern Air,USA,
9T,MyCargo Airlines,Türkei,
9U,Air Moldova,Moldawien,
9V,Avior Airlines,Venezuela,
9W,Jet Airways,Indien,
9X,Southern Airways Express,USA,
A2,Astra Airlines,Griechenland,
A3,Aegean Airlines,Griechenland,
A4,Aerocon,Bolivien,
A5,Hop!,Frankreich,
A7,Air Niamey,Niger,
A8,Ameriflight,USA,
A9,Georgian Airways,Georgien,
AA,American Airlines,USA,
AB,Air Berlin,Deutschland,
AC,Air Canada,Kanada,
AD,Avialeasing Aviation,Usbekistan,neuer Code: V2
AD,Azul,Brasilien,
AE,Mandarin Airlines,Taiwan,
AF,Air France,Frankreich,
AG,Air Ghana,Ghana,
AG,Aruba Airlines,Aruba,
AH,Air Algérie,Algerien,
AI,Air India,Indien,
AJ,Aztec Airways,USA,
AK,Air Asia,Malaysia,
AL,Air Leisure,Ägypten,
AM,Aeroméxico,Mexiko,
AP,Alba Star,Spanien,
AQ,9 Air,China,
AR,Aerolíneas Argentinas,Argentinien,
AS,Alaska Airlines,USA,
AT,Royal Air Maroc,Marokko,
AU,Austral,Argentinien,
AV,Avianca,Kolumbien,
AW,Venezolana,Venezuela,
AX,Trans States Airlines,USA,
AY,Finnair,Finnland,
AZ,Alitalia,Italien,
B0,La Compagnie,Frankreich,
B2,Belavia,Weißrussland,
B4,ZanAir,Tansania,
B6,JetBlue Airways,USA,
B7,Uni Air,Republik China (Taiwan),
B8,Eritrean Airlines,Eritrea,
BA,British Airways,Vereinigtes Königreich,auch British Airways/Comair (Südafrika)
BB,Seaborne Airlines,Puerto Rico,
BC,Skymark Airlines,Japan,
BD,Cambodia Bayon Airlines,Kambodscha,
BE,Flybe,Vereinigtes Königreich,
BG,Biman Bangladesh Airlines,Bangladesch,
BI,Royal Brunei Airlines,Brunei,
BJ,Nouvelair,Tunesien,
BK,Okay Airways,China,
BL,JetstarPacific,Vietnam,
BM,bmi regional,Vereinigtes Königreich,
BP,Air Botswana,Botswana,
BR,EVA Air,Taiwan,
BS,US-Bangla Airlines,Bangladesch,
BT,AirBaltic,Lettland,
BU,Compagnie Africaine d'Aviation,Demokratische Republik Kongo,
BV,Blue Panorama Airlines,Italien,
BW,Caribbean Airlines,Trinidad und Tobago,
BY,Thomson Airways,Vereinigtes Königreich,
BZ,Blue Bird Airways,Griechenland,
BZ,Blue Dart Aviation,Indien,
C1,CEIBA Intercontinental,Äquatorialguinea,
C3,Trade Air,Kroatien,
C4,Conquest Air Cargo,USA,
C5,Commutair,USA,
C6,CanJet Airlines,Kanada,
C7,Cinnamon Air,Sri Lanka,
C8,Cargolux Italia,Italien,
CA,Air China,China,
CB,Trans Caribbean Air,USA,
CC,Air Atlanta Icelandic,Island,
CC,CM Airlines,Honduras,
CD,Corendon Dutch Airlines,Niederlande,
CE,Chalair Aviation,Frankreich,
CF,China Postal Airlines,China,
CG,Airlines PNG,Papua-Neuguinea,
CH,Bemidji Airlines,USA,
CI,China Airlines,Taiwan,
CJ,BA CityFlyer,Großbritannien,
CK,China Cargo Airlines,China,
CL,Lufthansa CityLine,Deutschland,
CM,Copa Airlines,Panama,
CN,Grand China Air,China,
CP,Compass Airlines,USA,
CQ,Charterlines,Tansania,
CQ,Coastal Aviation,Tansania,
CT,Alitalia CityLiner,Italien,
CU,Cubana,Kuba,
CV,Cargolux,Luxemburg,
CW,Air Cargo Global,Slowakei,
CX,Cathay Pacific,Hongkong,
CZ,China Southern Airlines,China,
D0,DHL Air UK,Vereinigtes Königreich,
D2,Severstal Air,Russland,
D3,Daallo Airlines,Djibouti,
D4,Dart Airlines,Ukraine,
D5,DHL Aero Expreso,Panama,
D6,Inter Air,Südafrika,
D7,Airasia X,Malaysia,
D8,Norwegian Air International,Irland,
D9,Donavia,Russland,
DC,BRA,Schweden,
DD,Nok Air,Thailand,
DE,Condor Flugdienst,Deutschland,
DH,Norwegian Air Norway,Norwegen,
DI,Norwegian Air UK,Vereinigtes Königreich,
DJ,AirAsia Japan,Japan,
DJ,Virgin Australia,Australien,neuer Code: VA
DK,Thomas Cook Airlines Scandinavia,Dänemark,
DL,Delta Air Lines,USA,
DM,Asian Air,Thailand,
DN,Sénégal Airlines,Senegal,
DO,Air Vallée,Italien,neuer Code: VK
DQ,Air Direct-Connect,Kenia,
DR,Air Link,Australien,neuer Code: ZL
DR,Ruili Airlines,China,
DS,EasyJet Switzerland,Schweiz,
DT,TAAG Angola Airways,Angola,
DV,Aircompany SCAT,Kasachstan,
DW,Dominican Wings,Dominikanische Republik,
DX,Danish Air Transport,Dänemark,
DY,Norwegian Air Shuttle,Norwegen,
DZ,Donghai Airlines,China,
E3,New Gen Airways,Thailand,
E4,Enter Air,Polen,
E4,Estelar Latinoamerica,Venezuela,
E5,Air Arabia Egypt,Ägypten,
E6,Bringer Air Cargo Taxi Aereo,Brasilien,
E7,Equaflight Service,Kongo,
E7,Estafeta Carga Aerea,Mexiko,
E9,Evelop Airlines,Spanien,
EA,Eastern Air Lines (2011),USA,
EB,Wamos Air,Spanien,
EC,OpenSkies,Vereinigtes Königreich,
ED,Airblue,Pakistan,neuer Code: PA
ED,AirExplore,Slowakei,
EF,Fly Caminter,Kamerun,
EG,East Air,Tadschikistan,
EG,Enerjet,Kanada,
EH,ANA Wings,Japan,
EI,Aer Lingus,Irland,
EK,Emirates,Vereinigte Arabische Emirate,
EL,Ellinair,Griechenland,
EM,Empire Airlines,USA,
EN,Air Dolomiti,Italien,
EO,Air Go Airlines,Ägypten,
EP,Iran Aseman Airlines,Iran,
EQ,TAME,Ecuador,
ES,DHL Aviation,Bahrain,
ET,Ethiopian Airlines,Äthiopien,
EU,Chengdu Airlines,China,
EV,ExpressJet Airlines,USA,
EW,Eurowings,Deutschland,
EX,Thai Express Air,Thailand,
EY,Etihad Airways,Vereinigte Arabische Emirate,
EZ,Sun Air of Scandinavia,Dänemark,
F2,Falcon Air Express,USA,Betrieb 2015 eingestell
F2,Safarilink Aviation,Kenia,
F3,FAI rent-a-jet,Deutschland,
F4,Air Flamenco,Puerto Rico,
F5,Aerotrans Cargo,Moldawien,
F7,Darwin Airline,Schweiz,"Markenauftritt Etihad Regional, vorheriger Code: 0D"
F8,Flair Airlines,Kanada,
F9,Frontier Airlines,USA,
FA,Safair,Südafrika,
FB,Bulgaria Air,Bulgarien,
FC,Viva Colombia,Kolumbien,
FD,Thai AirAsia,Thailand,
FE,Far Eastern Air Transport,Taiwan,
FG,Ariana Afghan Airlines,Afghanistan,
FH,Freebird Airlines,Türkei,
FI,Icelandair,Island,
FJ,Fiji Airways,Fiji,
FJ,Fiji Link,Fiji,
FK,KF Cargo,Kanada,
FM,FedEx / Federal Express,USA,"Code FM verwendet bis 1994, neuer Code: FX"
FM,Shanghai Airlines,China,
FN,Fastjet Airlines,Tansania,
FR,Ryanair,Irland,
FS,Syphax Airlines,Tunesien,
FT,Fly Egypt,Ägypten,
FV,Rossija,Russland,
FW,Ibex Airlines,Japan,
FX,FedEx / Federal Express,USA,
FY,Firefly,Malaysia,
FZ,Fly Dubai,Vereinigte Arabische Emirate,
G3,Gol Linhas Aéreas,Brasilien,
G4,Allegiant Air,USA,
G5,China Express Airlines,China,
G7,GoJet Airlines,USA,
G8,GoAir,Indien,
G9,Air Arabia,Vereinigte Arabische Emirate,
G9,Gol Linhas Aéreas,Brasilien,neuer Code: G3
GA,Garuda Indonesia,Indonesien,
GB,ABX Air,USA,
GE,TransAsia Airways,Republik China (Taiwan),
GF,Gulf Air,"Bahrain, Katar, Oman, Vereinigte Arabische Emirate",
GG,Air Guyane,Französisch-Guyana,
GG,Air Holland,Niederlande,neuer Code: HD
GG,Sky Lease Cargo,USA,
GH,Globus Airlines,Russland,
GJ,Zhejiang Loong Airlines,China,
GK,Jetstar Japan,Japan,
GL,Air Greenland,Grönland,
GL,AirGlow Aviation Services,Vereinigte Arabische Emirate,
GL,Miami Air International,USA,neuer Code: LL
GM,Germania Flug,Schweiz,
GM,Tri-MG Intra Asia Airlines,Indonesien,
GO,ULS Airlines Cargo,Türkei,
GQ,Sky Express SA,Griechenland,
GR,Aurigny Air Services,Guernsey,
GS,Tianjin Airlines,China,
GU,Aviateca,Guatemala,
GX,GX Airlines,China,
GY,Colorful Guizhou Airlines,China,
GZ,Air Rarotonga,Neuseeland,
H2,Sky Airline,Chile,
H5,I-Fly,Russland,neuer Code: I4
H6,Bulgarian Air Charter,Bulgarien,
H6,Hageland Aviation Service,USA,
H9,Himalaya Airlines,Nepal,
H9,Pegasus Airlines,Türkei,neuer Code: PC
HA,Hawaiian Airlines,USA,
HB,Asia Atlantic Airlines,Thailand,
HD,Air Do,Japan,
HE,LGW Luftfahrtgesellschaft Walter,Deutschland,
HF,Air Côte d’Ivoire,Elfenbeinküste,
HF,Hapag-Lloyd Flug,Deutschland,"jetzt TUIfly, seit Juli 2007 neuer Code: X3"
HG,Niki Luftfahrt,Österreich,
HH,Taban Air,Iran,
HI,Papillon Airways,USA,
HJ,Tasman Cargo Airlines,Australien,
HK,Skippers Aviation,Australien,
HK,Yangon Airways,Myanmar,neuer Code: YH
HM,Air Seychelles,Seychellen,
HO,Juneyao Airlines,China,
HP,Amapola Flyg,Schweden,
HQ,Thomas Cook Belgium Airlines,Belgien,
HR,Hahn Air Lines,Deutschland,
HT,Ningxia Cargo Airlines,China,
HU,Hainan Airlines,China,
HV,Transavia Airlines,Niederlande,
HW,North-Wright Airways,Kanada,
HX,Hong Kong Airlines,China,
HY,Uzbekistan Airways,Usbekistan,
HZ,Aurora Airlines,Russland,
I2,Iberia Express,Spanien,
I4,I-Fly,Russland,
I4,Island Air Express,USA,
I5,AirAsia India,Indien,
I7,Inter Îles Air,Komoren,
I8,Izhavia,Russland,
IB,Iberia,Spanien,
ID,Batik Air,Indonesien,
IE,Solomon Airlines,Salomonen,
IF,Contract Air Cargo,USA,
IF,Fly Baghdad Airlines,Irak,
IG,Meridiana,Italien,
IJ,Spring Airlines Japan,Japan,
IK,IKAR,Russland,
IL,Trigana Air Service,Indonesien,
IL,Aircompany ATMA,Kasachstan,
IN,NAM Air,Indonesien,
IQ,Qazaq Air,Kasachstan,
IR,Iran Air,Iran,
IT,Tigerair Taiwan,Taiwan,
IV,VVB Aviation Malta,Malta,
IW,Wings Abadi Airlines,Indonesien,
IY,Yemenia,Jemen,
IZ,Arkia Israeli Airlines,Israel,
J1,One Jet,USA,
J2,Azerbaijan Airlines,Aserbaidschan,
J3,Northwestern Air,Kanada,
J4,Badr Airlines,Sudan,
J5,Alaska Seaplane Service,USA,
J6,Jet Ops,Vereinigte Arabische Emirate,
J8,Berjaya Air,Malaysia,
J9,Jazeera Airways,Kuwait,
JC,Japan Air Commuter,Japan,
JD,Beijing Capital Airlines,China,
JE,Mango,Südafrika,
JF,Jetairfly,Belgien,neuer Code: TB
JG,Jetgo Australia,Australien,
JH,Fuji Dream Airlines,Japan,
JI,Meraj Air,Iran,
JJ,LATAM Brasil,Brasilien,
JL,Japan Airlines,Japan,
JP,Adria Airways,Slowenien,
JQ,Jetstar Airways,Australien,
JQ,Alba Star,Spanien,neuer Code: AP
JR,Joy Air,China,
JS,Air Koryo,Nordkorea,
JT,Lion Air,Indonesien,
JU,Air Serbia,Serbien,
JV,Bearskin Airlines,Kanada,
JW,Vanilla Air,Japan,
JX,DAC Aviation,Kenia,
JY,Inter Caribbean Airways,Turks- und Caicosinseln,
K3,SAC,Kenia,
K3,Taquan Air,USA,
K4,Kalitta Air,USA,
K5,SeaPort Airlines,USA,
K6,Cambodia Angkor Air,Kambodscha,
K7,Air KBZ,Myanmar,
K8,InterJet West,USA,
K8,Kan Air,Thailand,
K9,Kalitta Charters,USA,
KA,Cathay Dragon,Hongkong,
KB,Drukair,Bhutan,
KC,Air Astana,Kasachstan,
KD,Kal Star Aviation,Indonesien,
KD,Regional Express Airlines,Australien,neuer Code: ZL
KD,Western Global Airlines,USA,
KE,Korean Air,Südkorea,
KF,Blue1,Finnland,
KG,Key Lime Air,USA,
KH,Aloha Air Cargo,USA,
KI,KrasAvia,Russland,
KJ,Air Incheon,Südkorea,
KK,AtlasGlobal,Türkei,
KL,KLM - Royal Dutch Airlines,Niederlande,
KM,Air Malta,Malta,
KN,China United Airlines,China,
KO,Alaska Central Express,USA,
KO,Komiaviatrans,Russland,
KP,Asky,Togo,
KQ,Kenya Airways,Kenia,
KR,Air Bishkek,Kirgisistan,
KS,Penair,USA,
KU,Kuwait Airways,Kuwait,
KW,KAS Air Company,Kirgisistan,Code nicht mehr genutzt
KX,Cayman Airways,Kaimaninseln,
KY,Kunming Airlines,China,
KZ,Nippon Cargo Airlines,Japan,
L1,Airlliance,USA,
L1,Lufthansa Systems,Deutschland,neuer Code: S1
L2,Lynden Air Cargo,USA,
L3,DHL de Guatemala,Guatemala,
L5,Atlantique Air Assistance,Frankreich,
L6,Mauritania Airlines International,Mauretanien,
L7,LAN Cargo Colombia,Kolumbien,
L8,Afric Aviation,Gabun,
L9,Bristow US,USA,
LA,LAN Airlines,Chile,
LB,Air Costa,Indien,
LC,Equatorial Congo Airlines,Kongo,
LD,Air Hong Kong,Hong Kong,
LF,Corporate Flight Management,USA,
LG,Luxair,Luxemburg,
LH,Lufthansa,Deutschland,
LH,Lufthansa Cargo,Deutschland,
LI,LIAT,Antigua und Barbuda,
LJ,Jin Air,Südkorea,
LL,Miami Air International,USA,
LM,Loganair,Vereinigtes Königreich,
LN,Libyan Airlines,Libyen,
LO,LOT Polish Airlines / Polskie Linie Lotnicze,Polen,
LP,LAN Perú,Perú,
LR,Avianca Costa Rica,Costa Rica,
LS,Jet2.com,Vereinigtes Königreich,
LU,LAN Express,Chile,
LV,Mega Maldives Airlines,Malediven,
LX,Swiss International Air Lines,Schweiz,
LY,El Al,Israel,
M0,Aero Mongolia,Mongolei,
M2,MHS Aviation,Deutschland,
M2,Millon Express,USA,
M3,North Flying,Dänemark,
M3,TAM Cargo,Brasilien,
M4,Mistral Air,Italien,
M5,Kenmore Air,USA,
M6,Amerijet International,USA,
M7,MAS Air Cargo,Mexiko,
M8,Skyjet Airlines,Philippinen,
M9,Motor Sich Airlines,Ukraine,
MB,MNG Airlines,Türkei,
MD,Air Madagascar,Madagaskar,
ME,Middle East Airlines (MEA),Libanon,
MF,Xiamen Airlines,China,
MG,Miami Air Lease,USA,
MH,Malaysia Airlines,Malaysia,
MI,Silk Air,Singapur,
MJ,Mihin Lanka,Sri Lanka,
MM,Euroatlantic Airways,Portugal,neuer Code: YU
MM,Peach Aviation,Japan,
MN,Kulula,Südafrika,
MO,Calm Air,Kanada,
MP,Martinair Holland,Niederlande,
MQ,Envoy Air,USA,
MR,Hunnu Air,Mongolei,
MS,Egypt Air,Ägypten,
MU,China Eastern Airlines,China,
MW,Maya Island Air,Belize,neuer Code: MY
MW,Mokulele Airlines,USA,
MY,MAS Air Cargo,Mexiko,neuer Code: M7
MY,Maya Island Air,Belize,
MZ,Amakusa Airlines,Japan,
N2,Trans Mediterranean Airways,Libanon,Flugbetrieb ruht seit 2014
N3,Aerolíneas Mas,Dominikanische Republik,
N4,Nordwind Airlines,Russland,
N5,Nolinor Aviation,Kanada,
N6,Nomad Aviation,Namibia,
N7,Neptune Air,Malaysia,
N7,Nordic Regional Airlines,Finnland,
N8,National Airlines (2007),USA,
N8,Norwegian Air Shuttle,Norwegen,neuer Code: DY
N9,Novair,Schweden,
NB,Skypower Express Airways,Nigeria,
NC,Cobham,Australien,
NC,Northern Air Cargo,USA,
ND,FMI Air,Myanmar,
NE,Nesma Airlines,Ägypten,
NF,Air Vanuatu,Vanuatu,
NG,Aero Contractors,Nigeria,
NH,All Nippon Airways,Japan,
NI,Portugália Airlines,Portugal,
NK,Spirit Airlines,USA,
NL,Shaheen Air International,Pakistan,
NN,VIM Airlines,Russland,
NO,Neos,Italien,
NO,Niger Air Cargo,Niger,
NP,Nile Air,Ägypten,
NQ,Air Japan,Japan,
NS,Eurowings,Deutschland,neuer Code: EW
NS,Hebei Airlines,China,
NT,Binter Canarias,Spanien,
NU,Aero Contractors,Nigeria,neuer Code: NG
NU,Japan Transocean Air,Japan,
NX,Air Macau,Macau,
NY,Air Iceland,Island,
NZ,Air New Zealand,Neuseeland,
O3,Orange Air,USA,
O3,SF Airlines,China,
O6,Avianca Brazil,Brasilien,
O7,Orenburzhye,Russland,
O8,Siam Air Transport,Thailand,
O9,Nova Airways,Sudan,
OA,Olympic Air,Griechenland,
OB,Boliviana de Aviación,Bolivien,
OC,Oriental Air Bridge,Japan,
OD,Malindo Air,Malaysia,
OH,PSA Airlines,USA,
OI,Hinterland Aviation,Australien,
OJ,Fly Jamaica Airways,Jamaika,
OK,CSA Czech Airlines,Tschechien,
OL,Polynesian Airlines,Samoa,
OM,MIAT Mongolian Airlines,Mongolei,
ON,Nauru Airlines,Nauru,
OO,SkyWest Airlines,USA,
OP,Air Pegasus,Indien,
OQ,Chongqing Airlines,China,
OR,TUI Airlines Nederland,Niederlande,
OS,Austrian Airlines,Österreich,
OU,Croatia Airlines,Kroatien,
OX,Orient Thai Airlines,Thailand,
OY,Andes Líneas Aéreas,Argentinien,
OY,Omni Air International,USA,
OZ,Asiana Airlines,Südkorea,
P0,Proflight Zambia,Sambia,
P2,AirKenya Express,Kenia,
P2,UTair,Russland,neuer Code: UT
P3,CargoLogicAir,Vereinigtes Königreich,
P5,Copa Airlines Colombia,Kolumbien,
P6,Pascan Aviation,Kanada,
P6,Privilege Style,Spanien,
P7,Small Planet Airlines (Polen),Polen,
P9,Asia Pacific Airlines,USA,
P9,Peruvian Airlines,Peru,
P9,Pro Air,USA,neuer Code: XL
PA,Airblue,Pakistan,
PB,Provincial Airlines,Kanada,
PC,Pegasus Airlines,Türkei,
PD,Porter Airlines,Kanada,
PE,Pacific Air Express,Australien,
PE,People’s Viennaline,Österreich,
PF,Primera Air Scandinavia,Dänemark,
PG,Bangkok Airways,Thailand,
PH,Phoenix Air,USA,
PH,Polynesian Airlines,Samoa,neuer Code: OL
PJ,Air St. Pierre,Frankreich,
PK,Pakistan International Airlines,Pakistan,
PL,Southern Air Charter,Bahamas,
PM,Canary Fly,Spanien,
PM,Tropic Air,Belize,neuer Code: 9N
PN,China West Air,China,
PO,Polar Air Cargo,USA,
PP,Jet Aviation Business Jets,Schweiz,
PQ,AirAsia Philippines,Philippinen,
PR,Philippine Airlines,Philippinen,
PS,Ukraine International Airlines,Ukraine,
PT,Piedmont Airlines (1993),USA,
PU,Plus Ultra Líneas Aéreas,Spanien,
PV,PrivatAir,Schweiz,
PV,Saint Barth Commuter,Frankreich,
PW,Precision Air,Tansania,
PX,Air Niugini,Papua-Neuguinea,
PY,Surinam Airways,Surinam,
PZ,TAM Airlines,Paraguay,
Q2,Maldivian,Malediven,
Q5,40-Mile Air,USA,
Q7,SkyBahamas Airlines,Bahamas,
Q8,Trans Air Congo,Kongo,
Q9,Minerva Airlines,Italien,
QA,Cimber,Dänemark,
QB,Qeshm Airlines,Iran,
QC,Camair-Co,Kamerun,
